Year,Location_ID,Company_ID,Track_type_ID,Value,Scalar_ID,UOM_ID
1989,CN,ALL,31,5833,0,196
1989,CN,ALL,32,4207,0,196
1989,CN,ALL,33,6511,0,196
1989,CN,CNNL,1,47243,0,196
1989,CN,CNNL,11,42798,0,196
1989,CN,CNNL,21,19156,0,196
1989,CN,CNNL,22,12721,0,196
1989,CN,CNNL,23,10922,0,196
1989,CN,CNNL,12,4445,0,196
1989,CN,CNNL,31,961,0,196
1989,CN,CNNL,32,288,0,196
1989,CN,CNNL,33,3195,0,196
1989,CN,CNPC,1,31720,0,196
1989,CN,CNPC,11,22442,0,196
1989,CN,CNPC,21,9054,0,196
1989,CN,CNPC,22,7960,0,196
1989,CN,CNPC,23,5427,0,196
1989,CN,CNPC,12,9278,0,196
1989,CN,CNPC,31,3289,0,196
1989,CN,CNPC,32,3634,0,196
1989,CN,CNPC,33,2356,0,196
1989,CN,VIAR,1,0,0,196
1989,CN,VIAR,11,0,0,196
1989,CN,VIAR,21,0,0,196
1989,CN,VIAR,22,0,0,196
1989,CN,VIAR,23,0,0,196
1989,CN,VIAR,12,0,0,196
1989,CN,VIAR,31,0,0,196
1989,CN,VIAR,32,0,0,196
1989,CN,VIAR,33,0,0,196
1989,CN,RGRL,1,9202,0,196
1989,CN,RGRL,11,6374,0,196
1989,CN,RGRL,21,4315,0,196
1989,CN,RGRL,22,461,0,196
1989,CN,RGRL,23,1599,0,196
1989,CN,RGRL,12,2828,0,196
1989,CN,RGRL,31,1583,0,196
1989,CN,RGRL,32,285,0,196
1989,CN,RGRL,33,960,0,196
1990,CN,ALL,1,86010,0,196
1990,CN,ALL,11,70350,0,196
1990,CN,ALL,21,32459,0,196
1990,CN,ALL,22,20244,0,196
1990,CN,ALL,23,17647,0,196
1990,CN,ALL,12,15660,0,196
1990,CN,ALL,31,5517,0,196
1990,CN,ALL,32,3754,0,196
1990,CN,ALL,33,6390,0,196
1990,CN,CNNL,1,46205,0,196
1990,CN,CNNL,11,42103,0,196
