Year,Location_ID,Company_ID,Usage_ID,Value,Scalar_ID,UOM_ID
1991,CN,ALL,D,1972528,3,203
1991,CN,ALL,DF,1774337,3,203
1991,CN,ALL,DP,70096,3,203
1991,CN,ALL,DYS,116916,3,203
1991,CN,ALL,DWT,11179,3,203
1991,CN,ALL,COST,641975222,0,81
1991,CN,CNNL,D,911080,3,203
1991,CN,CNNL,DF,849186,3,203
1991,CN,CNNL,DP,0,3,203
1991,CN,CNNL,DYS,58616,3,203
1991,CN,CNNL,DWT,3277,3,203
1991,CN,CNNL,COST,324432341,0,81
1991,CN,CNPC,D,845596,3,203
1991,CN,CNPC,DF,794465,3,203
1991,CN,CNPC,DP,0,3,203
1991,CN,CNPC,DYS,46460,3,203
1991,CN,CNPC,DWT,4671,3,203
1991,CN,CNPC,COST,252644218,0,81
1991,CN,VIAR,D,63955,3,203
1991,CN,VIAR,DF,0,3,203
1991,CN,VIAR,DP,63446,3,203
1991,CN,VIAR,DYS,509,3,203
1991,CN,VIAR,DWT,0,3,203
1991,CN,VIAR,COST,19044806,0,81
1991,CN,RGRL,D,151898,3,203
1991,CN,RGRL,DF,130685,3,203
1991,CN,RGRL,DP,6650,3,203
1991,CN,RGRL,DYS,11331,3,203
1991,CN,RGRL,DWT,3231,3,203
1991,CN,RGRL,COST,45853857,0,81
1992,CN,ALL,D,1894237,3,203
1992,CN,ALL,DF,1704686,3,203
1992,CN,ALL,DP,61535,3,203
1992,CN,ALL,DYS,116061,3,203
1992,CN,ALL,DWT,11955,3,203
1992,CN,ALL,COST,573189775,0,81
1992,CN,CNNL,D,895952,3,203
1992,CN,CNNL,DF,832667,3,203
1992,CN,CNNL,DP,0,3,203
1992,CN,CNNL,DYS,59031,3,203
1992,CN,CNNL,DWT,4254,3,203
1992,CN,CNNL,COST,290213000,0,81
1992,CN,CNPC,D,795398,3,203
1992,CN,CNPC,DF,744770,3,203
1992,CN,CNPC,DP,0,3,203
1992,CN,CNPC,DYS,46432,3,203
1992,CN,CNPC,DWT,4196,3,203
1992,CN,CNPC,COST,224245642,0,81
1992,CN,VIAR,D,56010,3,203
1992,CN,VIAR,DF,0,3,203
1992,CN,VIAR,DP,56010,3,203
1992,CN,VIAR,DYS,0,3,203
1992,CN,VIAR,DWT,0,3,203
1992,CN,VIAR,COST,15567796,0,81
1992,CN,RGRL,D,146876,3,203
1992,CN,RGRL,DF,127248,3,203
1992,CN,RGRL,DP,5525,3,203
1992,CN,RGRL,DYS,10598,3,203
1992,CN,RGRL,DWT,3504,3,203
1992,CN,RGRL,COST,43163337,0,81
1993,CN,ALL,D,1906796,3,203
1993,CN,ALL,DF,1711074,3,203
1993,CN,ALL,DP,67002,3,203
1993,CN,ALL,DYS,118454,3,203
1993,CN,ALL,DWT,10266,3,203
1993,CN,ALL,COST,578556585,0,81
1993,CN,CNNL,D,885216,3,203
1993,CN,CNNL,DF,822648,3,203
1993,CN,CNNL,DP,0,3,203
1993,CN,CNNL,DYS,58561,3,203
1993,CN,CNNL,DWT,4007,3,203
1993,CN,CNNL,COST,285326026,0,81
1993,CN,CNPC,D,808162,3,203
1993,CN,CNPC,DF,755527,3,203
1993,CN,CNPC,DP,0,3,203
1993,CN,CNPC,DYS,49177,3,203
1993,CN,CNPC,DWT,3458,3,203
1993,CN,CNPC,COST,235016513,0,81
1993,CN,VIAR,D,61715,3,203
1993,CN,VIAR,DF,0,3,203
1993,CN,VIAR,DP,61715,3,203
1993,CN,VIAR,DYS,0,3,203
1993,CN,VIAR,DWT,0,3,203
1993,CN,VIAR,COST,14839867,0,81
1993,CN,RGRL,D,151703,3,203
1993,CN,RGRL,DF,132900,3,203
1993,CN,RGRL,DP,5287,3,203
1993,CN,RGRL,DYS,10715,3,203
1993,CN,RGRL,DWT,2801,3,203
1993,CN,RGRL,COST,43374179,0,81
1994,CN,ALL,D,1986748,3,203
1994,CN,ALL,DF,1790386,3,203
1994,CN,ALL,DP,57468,3,203
1994,CN,ALL,DYS,127704,3,203
1994,CN,ALL,DWT,11190,3,203
1994,CN,ALL,COST,621047713,0,81
1994,CN,CNNL,D,877719,3,203
1994,CN,CNNL,DF,812258,3,203
1994,CN,CNNL,DP,0,3,203
1994,CN,CNNL,DYS,60817,3,203
1994,CN,CNNL,DWT,4645,3,203
1994,CN,CNNL,COST,304455808,0,81
1994,CN,CNPC,D,885911,3,203
1994,CN,CNPC,DF,829454,3,203
1994,CN,CNPC,DP,0,3,203
1994,CN,CNPC,DYS,54390,3,203
1994,CN,CNPC,DWT,2068,3,203
1994,CN,CNPC,COST,253589040,0,81
1994,CN,VIAR,D,53036,3,203
1994,CN,VIAR,DF,0,3,203
1994,CN,VIAR,DP,53036,3,203
1994,CN,VIAR,DYS,0,3,203
1994,CN,VIAR,DWT,0,3,203
1994,CN,VIAR,COST,15902033,0,81
1994,CN,RGRL,D,170082,3,203
1994,CN,RGRL,DF,148675,3,203
1994,CN,RGRL,DP,4432,3,203
1994,CN,RGRL,DYS,12498,3,203
1994,CN,RGRL,DWT,4477,3,203
1994,CN,RGRL,COST,47100832,0,81
1995,CN,ALL,D,1998053,3,203
1995,CN,ALL,DF,1804773,3,203
1995,CN,ALL,DP,53673,3,203
1995,CN,ALL,DYS,130415,3,203
1995,CN,ALL,DWT,9193,3,203
1995,CN,ALL,COST,623650907,0,81
1995,CN,CNNL,D,884088,3,203
1995,CN,CNNL,DF,815222,3,203
1995,CN,CNNL,DP,0,3,203
1995,CN,CNNL,DYS,65907,3,203
1995,CN,CNNL,DWT,2960,3,203
1995,CN,CNNL,COST,301603302,0,81
1995,CN,CNPC,D,889738,3,203
1995,CN,CNPC,DF,836672,3,203
1995,CN,CNPC,DP,0,3,203
1995,CN,CNPC,DYS,50845,3,203
1995,CN,CNPC,DWT,2222,3,203
1995,CN,CNPC,COST,259554505,0,81
1995,CN,VIAR,D,49309,3,203
1995,CN,VIAR,DF,0,3,203
1995,CN,VIAR,DP,49309,3,203
1995,CN,VIAR,DYS,0,3,203
1995,CN,VIAR,DWT,0,3,203
1995,CN,VIAR,COST,15929133,0,81
1995,CN,RGRL,D,174918,3,203
1995,CN,RGRL,DF,152879,3,203
1995,CN,RGRL,DP,4364,3,203
1995,CN,RGRL,DYS,13663,3,203
1995,CN,RGRL,DWT,4012,3,203
1995,CN,RGRL,COST,46563967,0,81
1996,CN,ALL,D,1994354,3,203
1996,CN,ALL,DF,1792495,3,203
1996,CN,ALL,DP,66285,3,203
1996,CN,ALL,DYS,129372,3,203
1996,CN,ALL,DWT,6203,3,203
1996,CN,ALL,COST,652615580,0,81
1996,CN,CNNL,D,944376,3,203
1996,CN,CNNL,DF,873314,3,203
1996,CN,CNNL,DP,0,3,203
1996,CN,CNNL,DYS,67590,3,203
1996,CN,CNNL,DWT,3472,3,203
1996,CN,CNNL,COST,332845996,0,81
1996,CN,CNPC,D,814172,3,203
1996,CN,CNPC,DF,764952,3,203
1996,CN,CNPC,DP,0,3,203
1996,CN,CNPC,DYS,48868,3,203
1996,CN,CNPC,DWT,352,3,203
1996,CN,CNPC,COST,251828234,0,81
1996,CN,VIAR,D,61391,3,203
1996,CN,VIAR,DF,0,3,203
1996,CN,VIAR,DP,61391,3,203
1996,CN,VIAR,DYS,0,3,203
1996,CN,VIAR,DWT,0,3,203
1996,CN,VIAR,COST,18887945,0,81
1996,CN,RGRL,D,174415,3,203
1996,CN,RGRL,DF,154229,3,203
1996,CN,RGRL,DP,4893,3,203
1996,CN,RGRL,DYS,12914,3,203
