REF_DATE,GEO,DGUID,Companies,Length of track,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1987,Canada,2016A000011124,Total companies,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,17583
1987,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,5461
1987,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,5365
1987,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,6757
1987,Canada,2016A000011124,Canadian National,Total track operated,Kilometres,196,units ,0,51364
1987,Canada,2016A000011124,Canadian National,Total line owned,Kilometres,196,units ,0,46721
1987,Canada,2016A000011124,Canadian National,"Line owned, first main track",Kilometres,196,units ,0,19426
1987,Canada,2016A000011124,Canadian National,"Line owned, second and other main track",Kilometres,196,units ,0,15467
1987,Canada,2016A000011124,Canadian National,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,11828
1987,Canada,2016A000011124,Canadian National,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,4643
1987,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,636
1987,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,637
1987,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,3370
1987,Canada,2016A000011124,Canadian Pacific,Total track operated,Kilometres,196,units ,0,33370
1987,Canada,2016A000011124,Canadian Pacific,Total line owned,Kilometres,196,units ,0,23316
1987,Canada,2016A000011124,Canadian Pacific,"Line owned, first main track",Kilometres,196,units ,0,9044
1987,Canada,2016A000011124,Canadian Pacific,"Line owned, second and other main track",Kilometres,196,units ,0,8671
1987,Canada,2016A000011124,Canadian Pacific,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,5600
1987,Canada,2016A000011124,Canadian Pacific,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,10054
1987,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,3256
1987,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,4261
1987,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,2537
1987,Canada,2016A000011124,VIA Rail,Total track operated,Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,Total line owned,Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Line owned, first main track",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Line owned, second and other main track",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1987,Canada,2016A000011124,Regional railways,Total track operated,Kilometres,196,units ,0,8636
1987,Canada,2016A000011124,Regional railways,Total line owned,Kilometres,196,units ,0,5750
1987,Canada,2016A000011124,Regional railways,"Line owned, first main track",Kilometres,196,units ,0,4120
1987,Canada,2016A000011124,Regional railways,"Line owned, second and other main track",Kilometres,196,units ,0,264
1987,Canada,2016A000011124,Regional railways,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,1366
1987,Canada,2016A000011124,Regional railways,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,2887
1987,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,1569
1987,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,468
1987,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,849
1988,Canada,2016A000011124,Total companies,Total track operated,Kilometres,196,units ,0,90372
1988,Canada,2016A000011124,Total companies,Total line owned,Kilometres,196,units ,0,73786
1988,Canada,2016A000011124,Total companies,"Line owned, first main track",Kilometres,196,units ,0,32773
1988,Canada,2016A000011124,Total companies,"Line owned, second and other main track",Kilometres,196,units ,0,22775
1988,Canada,2016A000011124,Total companies,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,18238
1988,Canada,2016A000011124,Total companies,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,16586
1988,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,5452
1988,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,4536
1988,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,6599
1988,Canada,2016A000011124,Canadian National,Total track operated,Kilometres,196,units ,0,48753
1988,Canada,2016A000011124,Canadian National,Total line owned,Kilometres,196,units ,0,44655
1988,Canada,2016A000011124,Canadian National,"Line owned, first main track",Kilometres,196,units ,0,19495
1988,Canada,2016A000011124,Canadian National,"Line owned, second and other main track",Kilometres,196,units ,0,13921
1988,Canada,2016A000011124,Canadian National,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,11239
1988,Canada,2016A000011124,Canadian National,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,4098
1988,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,636
1988,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,288
1988,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,3173
1988,Canada,2016A000011124,Canadian Pacific,Total track operated,Kilometres,196,units ,0,32638
1988,Canada,2016A000011124,Canadian Pacific,Total line owned,Kilometres,196,units ,0,22988
1988,Canada,2016A000011124,Canadian Pacific,"Line owned, first main track",Kilometres,196,units ,0,9056
1988,Canada,2016A000011124,Canadian Pacific,"Line owned, second and other main track",Kilometres,196,units ,0,8425
1988,Canada,2016A000011124,Canadian Pacific,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,5507
1988,Canada,2016A000011124,Canadian Pacific,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,9650
1988,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,3249
1988,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,3935
1988,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,2466
1988,Canada,2016A000011124,VIA Rail,Total track operated,Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,Total line owned,Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Line owned, first main track",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Line owned, second and other main track",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1988,Canada,2016A000011124,Regional railways,Total track operated,Kilometres,196,units ,0,8981
1988,Canada,2016A000011124,Regional railways,Total line owned,Kilometres,196,units ,0,6143
