REF_DATE,GEO,DGUID,Level of education,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
2007/2008,Nova Scotia,2016A000212,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Nova Scotia,2016A000212,College,Constant dollars,Dollars,81,units ,0,299
2007/2008,Nova Scotia,2016A000212,College,Percentage distribution of  expenditures,Percent,239,units ,0,11.2
2007/2008,Nova Scotia,2016A000212,College,Index of change,Index,160,units ,0,100
2007/2008,Nova Scotia,2016A000212,University,Constant dollars,Dollars,81,units ,0,963
2007/2008,Nova Scotia,2016A000212,University,Percentage distribution of  expenditures,Percent,239,units ,0,35.9
2007/2008,Nova Scotia,2016A000212,University,Index of change,Index,160,units ,0,100
2007/2008,New Brunswick,2016A000213,All levels combined,Constant dollars,Dollars,81,units ,0,2079
2007/2008,New Brunswick,2016A000213,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,New Brunswick,2016A000213,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1215
2007/2008,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,58.4
2007/2008,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,New Brunswick,2016A000213,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,865
2007/2008,New Brunswick,2016A000213,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,41.6
2007/2008,New Brunswick,2016A000213,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,New Brunswick,2016A000213,College,Constant dollars,Dollars,81,units ,0,255
2007/2008,New Brunswick,2016A000213,College,Percentage distribution of  expenditures,Percent,239,units ,0,12.3
2007/2008,New Brunswick,2016A000213,College,Index of change,Index,160,units ,0,100
2007/2008,New Brunswick,2016A000213,University,Constant dollars,Dollars,81,units ,0,610
2007/2008,New Brunswick,2016A000213,University,Percentage distribution of  expenditures,Percent,239,units ,0,29.3
2007/2008,New Brunswick,2016A000213,University,Index of change,Index,160,units ,0,100
2007/2008,Quebec,2016A000224,All levels combined,Constant dollars,Dollars,81,units ,0,22221
2007/2008,Quebec,2016A000224,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Quebec,2016A000224,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,12583
2007/2008,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,56.6
2007/2008,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Quebec,2016A000224,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,9638
2007/2008,Quebec,2016A000224,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,43.4
2007/2008,Quebec,2016A000224,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Quebec,2016A000224,College,Constant dollars,Dollars,81,units ,0,4161
2007/2008,Quebec,2016A000224,College,Percentage distribution of  expenditures,Percent,239,units ,0,18.7
2007/2008,Quebec,2016A000224,College,Index of change,Index,160,units ,0,100
2007/2008,Quebec,2016A000224,University,Constant dollars,Dollars,81,units ,0,5477
2007/2008,Quebec,2016A000224,University,Percentage distribution of  expenditures,Percent,239,units ,0,24.6
2007/2008,Quebec,2016A000224,University,Index of change,Index,160,units ,0,100
2007/2008,Ontario,2016A000235,All levels combined,Constant dollars,Dollars,81,units ,0,39540
2007/2008,Ontario,2016A000235,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Ontario,2016A000235,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,24202
2007/2008,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,61.2
2007/2008,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Ontario,2016A000235,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,15338
2007/2008,Ontario,2016A000235,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,38.8
2007/2008,Ontario,2016A000235,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Ontario,2016A000235,College,Constant dollars,Dollars,81,units ,0,4826
2007/2008,Ontario,2016A000235,College,Percentage distribution of  expenditures,Percent,239,units ,0,12.2
2007/2008,Ontario,2016A000235,College,Index of change,Index,160,units ,0,100
2007/2008,Ontario,2016A000235,University,Constant dollars,Dollars,81,units ,0,10512
2007/2008,Ontario,2016A000235,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.6
2007/2008,Ontario,2016A000235,University,Index of change,Index,160,units ,0,100
