REF_DATE,GEO,DGUID,Level of education,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
2009/2010,Prince Edward Island,2016A000211,College,Constant dollars,Dollars,81,units ,0,77
2009/2010,Prince Edward Island,2016A000211,College,Percentage distribution of  expenditures,Percent,239,units ,0,17.3
2009/2010,Prince Edward Island,2016A000211,College,Index of change,Index,160,units ,0,104
2009/2010,Prince Edward Island,2016A000211,University,Constant dollars,Dollars,81,units ,0,120
2009/2010,Prince Edward Island,2016A000211,University,Percentage distribution of  expenditures,Percent,239,units ,0,27
2009/2010,Prince Edward Island,2016A000211,University,Index of change,Index,160,units ,0,102
2009/2010,Nova Scotia,2016A000212,All levels combined,Constant dollars,Dollars,81,units ,0,3093
2009/2010,Nova Scotia,2016A000212,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Nova Scotia,2016A000212,All levels combined,Index of change,Index,160,units ,0,115
2009/2010,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1599
2009/2010,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,51.7
2009/2010,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,113
2009/2010,Nova Scotia,2016A000212,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1494
2009/2010,Nova Scotia,2016A000212,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,48.3
2009/2010,Nova Scotia,2016A000212,Post-secondary levels combined,Index of change,Index,160,units ,0,118
2009/2010,Nova Scotia,2016A000212,College,Constant dollars,Dollars,81,units ,0,327
2009/2010,Nova Scotia,2016A000212,College,Percentage distribution of  expenditures,Percent,239,units ,0,10.6
2009/2010,Nova Scotia,2016A000212,College,Index of change,Index,160,units ,0,109
2009/2010,Nova Scotia,2016A000212,University,Constant dollars,Dollars,81,units ,0,1167
2009/2010,Nova Scotia,2016A000212,University,Percentage distribution of  expenditures,Percent,239,units ,0,37.7
2009/2010,Nova Scotia,2016A000212,University,Index of change,Index,160,units ,0,121
2009/2010,New Brunswick,2016A000213,All levels combined,Constant dollars,Dollars,81,units ,0,2272
2009/2010,New Brunswick,2016A000213,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,New Brunswick,2016A000213,All levels combined,Index of change,Index,160,units ,0,109
2009/2010,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1325
2009/2010,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,58.3
2009/2010,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,109
2009/2010,New Brunswick,2016A000213,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,947
2009/2010,New Brunswick,2016A000213,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,41.7
2009/2010,New Brunswick,2016A000213,Post-secondary levels combined,Index of change,Index,160,units ,0,109
2009/2010,New Brunswick,2016A000213,College,Constant dollars,Dollars,81,units ,0,274
2009/2010,New Brunswick,2016A000213,College,Percentage distribution of  expenditures,Percent,239,units ,0,12.1
2009/2010,New Brunswick,2016A000213,College,Index of change,Index,160,units ,0,108
2009/2010,New Brunswick,2016A000213,University,Constant dollars,Dollars,81,units ,0,673
2009/2010,New Brunswick,2016A000213,University,Percentage distribution of  expenditures,Percent,239,units ,0,29.6
2009/2010,New Brunswick,2016A000213,University,Index of change,Index,160,units ,0,110
2009/2010,Quebec,2016A000224,All levels combined,Constant dollars,Dollars,81,units ,0,22790
2009/2010,Quebec,2016A000224,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Quebec,2016A000224,All levels combined,Index of change,Index,160,units ,0,103
2009/2010,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,12945
2009/2010,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,56.8
2009/2010,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,103
2009/2010,Quebec,2016A000224,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,9845
2009/2010,Quebec,2016A000224,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,43.2
2009/2010,Quebec,2016A000224,Post-secondary levels combined,Index of change,Index,160,units ,0,102
2009/2010,Quebec,2016A000224,College,Constant dollars,Dollars,81,units ,0,3608
2009/2010,Quebec,2016A000224,College,Percentage distribution of  expenditures,Percent,239,units ,0,15.8
2009/2010,Quebec,2016A000224,College,Index of change,Index,160,units ,0,87
2009/2010,Quebec,2016A000224,University,Constant dollars,Dollars,81,units ,0,6237
2009/2010,Quebec,2016A000224,University,Percentage distribution of  expenditures,Percent,239,units ,0,27.4
2009/2010,Quebec,2016A000224,University,Index of change,Index,160,units ,0,114
2009/2010,Ontario,2016A000235,All levels combined,Constant dollars,Dollars,81,units ,0,43820
2009/2010,Ontario,2016A000235,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Ontario,2016A000235,All levels combined,Index of change,Index,160,units ,0,111
2009/2010,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,26398
2009/2010,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,60.2
2009/2010,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,109
2009/2010,Ontario,2016A000235,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,17421
2009/2010,Ontario,2016A000235,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,39.8
2009/2010,Ontario,2016A000235,Post-secondary levels combined,Index of change,Index,160,units ,0,114
2009/2010,Ontario,2016A000235,College,Constant dollars,Dollars,81,units ,0,5634
2009/2010,Ontario,2016A000235,College,Percentage distribution of  expenditures,Percent,239,units ,0,12.9
2009/2010,Ontario,2016A000235,College,Index of change,Index,160,units ,0,117
2009/2010,Ontario,2016A000235,University,Constant dollars,Dollars,81,units ,0,11787
2009/2010,Ontario,2016A000235,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.9
2009/2010,Ontario,2016A000235,University,Index of change,Index,160,units ,0,112
2009/2010,Manitoba,2016A000246,All levels combined,Constant dollars,Dollars,81,units ,0,4089
2009/2010,Manitoba,2016A000246,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Manitoba,2016A000246,All levels combined,Index of change,Index,160,units ,0,112
2009/2010,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,2654
2009/2010,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,64.9
2009/2010,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,109
2009/2010,Manitoba,2016A000246,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1436
2009/2010,Manitoba,2016A000246,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,35.1
2009/2010,Manitoba,2016A000246,Post-secondary levels combined,Index of change,Index,160,units ,0,120
2009/2010,Manitoba,2016A000246,College,Constant dollars,Dollars,81,units ,0,428
2009/2010,Manitoba,2016A000246,College,Percentage distribution of  expenditures,Percent,239,units ,0,10.5
2009/2010,Manitoba,2016A000246,College,Index of change,Index,160,units ,0,104
2009/2010,Manitoba,2016A000246,University,Constant dollars,Dollars,81,units ,0,1008
2009/2010,Manitoba,2016A000246,University,Percentage distribution of  expenditures,Percent,239,units ,0,24.6
2009/2010,Manitoba,2016A000246,University,Index of change,Index,160,units ,0,128
2009/2010,Saskatchewan,2016A000247,All levels combined,Constant dollars,Dollars,81,units ,0,4243
2009/2010,Saskatchewan,2016A000247,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Saskatchewan,2016A000247,All levels combined,Index of change,Index,160,units ,0,100
2009/2010,Saskatchewan,2016A000247,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,2509
2009/2010,Saskatchewan,2016A000247,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,59.1
2009/2010,Saskatchewan,2016A000247,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,99
2009/2010,Saskatchewan,2016A000247,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1733
2009/2010,Saskatchewan,2016A000247,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,40.8
2009/2010,Saskatchewan,2016A000247,Post-secondary levels combined,Index of change,Index,160,units ,0,102
2009/2010,Saskatchewan,2016A000247,College,Constant dollars,Dollars,81,units ,0,627
2009/2010,Saskatchewan,2016A000247,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.8
2009/2010,Saskatchewan,2016A000247,College,Index of change,Index,160,units ,0,103
2009/2010,Saskatchewan,2016A000247,University,Constant dollars,Dollars,81,units ,0,1105
2009/2010,Saskatchewan,2016A000247,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.1
2009/2010,Saskatchewan,2016A000247,University,Index of change,Index,160,units ,0,102
2009/2010,Alberta,2016A000248,All levels combined,Constant dollars,Dollars,81,units ,0,14941
2009/2010,Alberta,2016A000248,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Alberta,2016A000248,All levels combined,Index of change,Index,160,units ,0,131
2009/2010,Alberta,2016A000248,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,8719
2009/2010,Alberta,2016A000248,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,58.4
2009/2010,Alberta,2016A000248,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,137
2009/2010,Alberta,2016A000248,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,6221
2009/2010,Alberta,2016A000248,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,41.6
2009/2010,Alberta,2016A000248,Post-secondary levels combined,Index of change,Index,160,units ,0,124
2009/2010,Alberta,2016A000248,College,Constant dollars,Dollars,81,units ,0,2187
2009/2010,Alberta,2016A000248,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.6
2009/2010,Alberta,2016A000248,College,Index of change,Index,160,units ,0,102
2009/2010,Alberta,2016A000248,University,Constant dollars,Dollars,81,units ,0,4034
2009/2010,Alberta,2016A000248,University,Percentage distribution of  expenditures,Percent,239,units ,0,27
2009/2010,Alberta,2016A000248,University,Index of change,Index,160,units ,0,140
2009/2010,British Columbia,2016A000259,All levels combined,Constant dollars,Dollars,81,units ,0,12971
2009/2010,British Columbia,2016A000259,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,British Columbia,2016A000259,All levels combined,Index of change,Index,160,units ,0,110
2009/2010,British Columbia,2016A000259,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,7075
2009/2010,British Columbia,2016A000259,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,54.5
2009/2010,British Columbia,2016A000259,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,106
2009/2010,British Columbia,2016A000259,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,5896
2009/2010,British Columbia,2016A000259,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,45.5
2009/2010,British Columbia,2016A000259,Post-secondary levels combined,Index of change,Index,160,units ,0,115
2009/2010,British Columbia,2016A000259,College,Constant dollars,Dollars,81,units ,0,1976
2009/2010,British Columbia,2016A000259,College,Percentage distribution of  expenditures,Percent,239,units ,0,15.2
2009/2010,British Columbia,2016A000259,College,Index of change,Index,160,units ,0,97
2009/2010,British Columbia,2016A000259,University,Constant dollars,Dollars,81,units ,0,3920
2009/2010,British Columbia,2016A000259,University,Percentage distribution of  expenditures,Percent,239,units ,0,30.2
2009/2010,British Columbia,2016A000259,University,Index of change,Index,160,units ,0,127
2009/2010,Yukon,2016A000260,All levels combined,Constant dollars,Dollars,81,units ,0,160
2009/2010,Yukon,2016A000260,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Yukon,2016A000260,All levels combined,Index of change,Index,160,units ,0,106
2009/2010,Yukon,2016A000260,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,110
2009/2010,Yukon,2016A000260,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,68.4
2009/2010,Yukon,2016A000260,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,102
2009/2010,Yukon,2016A000260,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,52
2009/2010,Yukon,2016A000260,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,32.2
2009/2010,Yukon,2016A000260,Post-secondary levels combined,Index of change,Index,160,units ,0,119
2009/2010,Yukon,2016A000260,College,Constant dollars,Dollars,81,units ,0,52
2009/2010,Yukon,2016A000260,College,Percentage distribution of  expenditures,Percent,239,units ,0,32.2
2009/2010,Yukon,2016A000260,College,Index of change,Index,160,units ,0,119
2009/2010,Yukon,2016A000260,University,Constant dollars,Dollars,81,units ,0,NULL
2009/2010,Yukon,2016A000260,University,Percentage distribution of  expenditures,Percent,239,units ,0,NULL
2009/2010,Yukon,2016A000260,University,Index of change,Index,160,units ,0,NULL
2009/2010,Northwest Territories,2016A000261,All levels combined,Constant dollars,Dollars,81,units ,0,337
2009/2010,Northwest Territories,2016A000261,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Northwest Territories,2016A000261,All levels combined,Index of change,Index,160,units ,0,93
2009/2010,Northwest Territories,2016A000261,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,263
2009/2010,Northwest Territories,2016A000261,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,78
2009/2010,Northwest Territories,2016A000261,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,110
2009/2010,Northwest Territories,2016A000261,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,74
2009/2010,Northwest Territories,2016A000261,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,22
2009/2010,Northwest Territories,2016A000261,Post-secondary levels combined,Index of change,Index,160,units ,0,59
2009/2010,Northwest Territories,2016A000261,College,Constant dollars,Dollars,81,units ,0,74
2009/2010,Northwest Territories,2016A000261,College,Percentage distribution of  expenditures,Percent,239,units ,0,22
2009/2010,Northwest Territories,2016A000261,College,Index of change,Index,160,units ,0,59
2009/2010,Northwest Territories,2016A000261,University,Constant dollars,Dollars,81,units ,0,NULL
2009/2010,Northwest Territories,2016A000261,University,Percentage distribution of  expenditures,Percent,239,units ,0,NULL
2009/2010,Northwest Territories,2016A000261,University,Index of change,Index,160,units ,0,NULL
2009/2010,Nunavut,2016A000262,All levels combined,Constant dollars,Dollars,81,units ,0,228
2009/2010,Nunavut,2016A000262,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2009/2010,Nunavut,2016A000262,All levels combined,Index of change,Index,160,units ,0,108
2009/2010,Nunavut,2016A000262,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,162
2009/2010,Nunavut,2016A000262,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,71.1
2009/2010,Nunavut,2016A000262,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,103
2009/2010,Nunavut,2016A000262,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,66
2009/2010,Nunavut,2016A000262,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,28.9
2009/2010,Nunavut,2016A000262,Post-secondary levels combined,Index of change,Index,160,units ,0,122
2009/2010,Nunavut,2016A000262,College,Constant dollars,Dollars,81,units ,0,66
2009/2010,Nunavut,2016A000262,College,Percentage distribution of  expenditures,Percent,239,units ,0,28.9
2009/2010,Nunavut,2016A000262,College,Index of change,Index,160,units ,0,122
2009/2010,Nunavut,2016A000262,University,Constant dollars,Dollars,81,units ,0,NULL
2009/2010,Nunavut,2016A000262,University,Percentage distribution of  expenditures,Percent,239,units ,0,NULL
2009/2010,Nunavut,2016A000262,University,Index of change,Index,160,units ,0,NULL
2010/2011,Canada,2016A000011124,All levels combined,Constant dollars,Dollars,81,units ,0,112553
2010/2011,Canada,2016A000011124,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Canada,2016A000011124,All levels combined,Index of change,Index,160,units ,0,112
2010/2011,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,65747
2010/2011,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,58.4
2010/2011,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,112
2010/2011,Canada,2016A000011124,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,46806
2010/2011,Canada,2016A000011124,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,41.6
2010/2011,Canada,2016A000011124,Post-secondary levels combined,Index of change,Index,160,units ,0,113
2010/2011,Canada,2016A000011124,College,Constant dollars,Dollars,81,units ,0,16638
2010/2011,Canada,2016A000011124,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.8
2010/2011,Canada,2016A000011124,College,Index of change,Index,160,units ,0,109
2010/2011,Canada,2016A000011124,University,Constant dollars,Dollars,81,units ,0,30167
2010/2011,Canada,2016A000011124,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.8
2010/2011,Canada,2016A000011124,University,Index of change,Index,160,units ,0,116
2010/2011,Newfoundland and Labrador,2016A000210,All levels combined,Constant dollars,Dollars,81,units ,0,1799
2010/2011,Newfoundland and Labrador,2016A000210,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Newfoundland and Labrador,2016A000210,All levels combined,Index of change,Index,160,units ,0,113
2010/2011,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1007
2010/2011,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,56
2010/2011,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,114
2010/2011,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,793
2010/2011,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,44
2010/2011,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Index of change,Index,160,units ,0,113
2010/2011,Newfoundland and Labrador,2016A000210,College,Constant dollars,Dollars,81,units ,0,222
2010/2011,Newfoundland and Labrador,2016A000210,College,Percentage distribution of  expenditures,Percent,239,units ,0,12.3
2010/2011,Newfoundland and Labrador,2016A000210,College,Index of change,Index,160,units ,0,95
2010/2011,Newfoundland and Labrador,2016A000210,University,Constant dollars,Dollars,81,units ,0,571
2010/2011,Newfoundland and Labrador,2016A000210,University,Percentage distribution of  expenditures,Percent,239,units ,0,31.7
2010/2011,Newfoundland and Labrador,2016A000210,University,Index of change,Index,160,units ,0,122
2010/2011,Prince Edward Island,2016A000211,All levels combined,Constant dollars,Dollars,81,units ,0,457
2010/2011,Prince Edward Island,2016A000211,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Prince Edward Island,2016A000211,All levels combined,Index of change,Index,160,units ,0,114
2010/2011,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,243
2010/2011,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,53.2
2010/2011,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,118
2010/2011,Prince Edward Island,2016A000211,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,214
2010/2011,Prince Edward Island,2016A000211,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,46.8
2010/2011,Prince Edward Island,2016A000211,Post-secondary levels combined,Index of change,Index,160,units ,0,111
2010/2011,Prince Edward Island,2016A000211,College,Constant dollars,Dollars,81,units ,0,95
2010/2011,Prince Edward Island,2016A000211,College,Percentage distribution of  expenditures,Percent,239,units ,0,20.8
2010/2011,Prince Edward Island,2016A000211,College,Index of change,Index,160,units ,0,128
2010/2011,Prince Edward Island,2016A000211,University,Constant dollars,Dollars,81,units ,0,119
2010/2011,Prince Edward Island,2016A000211,University,Percentage distribution of  expenditures,Percent,239,units ,0,26
2010/2011,Prince Edward Island,2016A000211,University,Index of change,Index,160,units ,0,100
2010/2011,Nova Scotia,2016A000212,All levels combined,Constant dollars,Dollars,81,units ,0,3089
2010/2011,Nova Scotia,2016A000212,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Nova Scotia,2016A000212,All levels combined,Index of change,Index,160,units ,0,115
2010/2011,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1629
2010/2011,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,52.7
2010/2011,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,115
2010/2011,Nova Scotia,2016A000212,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1460
2010/2011,Nova Scotia,2016A000212,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,47.3
2010/2011,Nova Scotia,2016A000212,Post-secondary levels combined,Index of change,Index,160,units ,0,116
2010/2011,Nova Scotia,2016A000212,College,Constant dollars,Dollars,81,units ,0,327
2010/2011,Nova Scotia,2016A000212,College,Percentage distribution of  expenditures,Percent,239,units ,0,10.6
2010/2011,Nova Scotia,2016A000212,College,Index of change,Index,160,units ,0,109
2010/2011,Nova Scotia,2016A000212,University,Constant dollars,Dollars,81,units ,0,1133
2010/2011,Nova Scotia,2016A000212,University,Percentage distribution of  expenditures,Percent,239,units ,0,36.7
2010/2011,Nova Scotia,2016A000212,University,Index of change,Index,160,units ,0,118
2010/2011,New Brunswick,2016A000213,All levels combined,Constant dollars,Dollars,81,units ,0,2377
2010/2011,New Brunswick,2016A000213,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,New Brunswick,2016A000213,All levels combined,Index of change,Index,160,units ,0,114
2010/2011,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1371
2010/2011,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,57.7
2010/2011,New Brunswick,2016A000213,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,113
2010/2011,New Brunswick,2016A000213,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1006
2010/2011,New Brunswick,2016A000213,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,42.3
2010/2011,New Brunswick,2016A000213,Post-secondary levels combined,Index of change,Index,160,units ,0,116
2010/2011,New Brunswick,2016A000213,College,Constant dollars,Dollars,81,units ,0,307
2010/2011,New Brunswick,2016A000213,College,Percentage distribution of  expenditures,Percent,239,units ,0,12.9
2010/2011,New Brunswick,2016A000213,College,Index of change,Index,160,units ,0,121
2010/2011,New Brunswick,2016A000213,University,Constant dollars,Dollars,81,units ,0,699
2010/2011,New Brunswick,2016A000213,University,Percentage distribution of  expenditures,Percent,239,units ,0,29.4
2010/2011,New Brunswick,2016A000213,University,Index of change,Index,160,units ,0,115
2010/2011,Quebec,2016A000224,All levels combined,Constant dollars,Dollars,81,units ,0,22745
2010/2011,Quebec,2016A000224,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Quebec,2016A000224,All levels combined,Index of change,Index,160,units ,0,102
2010/2011,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,13070
2010/2011,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,57.5
2010/2011,Quebec,2016A000224,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,104
2010/2011,Quebec,2016A000224,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,9675
2010/2011,Quebec,2016A000224,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,42.5
2010/2011,Quebec,2016A000224,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2010/2011,Quebec,2016A000224,College,Constant dollars,Dollars,81,units ,0,3733
2010/2011,Quebec,2016A000224,College,Percentage distribution of  expenditures,Percent,239,units ,0,16.4
2010/2011,Quebec,2016A000224,College,Index of change,Index,160,units ,0,90
2010/2011,Quebec,2016A000224,University,Constant dollars,Dollars,81,units ,0,5942
2010/2011,Quebec,2016A000224,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.1
2010/2011,Quebec,2016A000224,University,Index of change,Index,160,units ,0,109
2010/2011,Ontario,2016A000235,All levels combined,Constant dollars,Dollars,81,units ,0,45296
2010/2011,Ontario,2016A000235,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Ontario,2016A000235,All levels combined,Index of change,Index,160,units ,0,115
2010/2011,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,27105
2010/2011,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,59.8
2010/2011,Ontario,2016A000235,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,112
2010/2011,Ontario,2016A000235,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,18191
2010/2011,Ontario,2016A000235,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,40.2
2010/2011,Ontario,2016A000235,Post-secondary levels combined,Index of change,Index,160,units ,0,119
2010/2011,Ontario,2016A000235,College,Constant dollars,Dollars,81,units ,0,6378
2010/2011,Ontario,2016A000235,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.1
2010/2011,Ontario,2016A000235,College,Index of change,Index,160,units ,0,132
2010/2011,Ontario,2016A000235,University,Constant dollars,Dollars,81,units ,0,11813
2010/2011,Ontario,2016A000235,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.1
2010/2011,Ontario,2016A000235,University,Index of change,Index,160,units ,0,112
2010/2011,Manitoba,2016A000246,All levels combined,Constant dollars,Dollars,81,units ,0,4137
2010/2011,Manitoba,2016A000246,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2010/2011,Manitoba,2016A000246,All levels combined,Index of change,Index,160,units ,0,114
2010/2011,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,2650
2010/2011,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,64.1
2010/2011,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,109
2010/2011,Manitoba,2016A000246,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1487
2010/2011,Manitoba,2016A000246,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,35.9
2010/2011,Manitoba,2016A000246,Post-secondary levels combined,Index of change,Index,160,units ,0,124
2010/2011,Manitoba,2016A000246,College,Constant dollars,Dollars,81,units ,0,469
